country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccinated_percent,tested_positive
Australia,Australia/Oceania,30019,910.0,29000,109,1.0,1165,35.0,17881036.0,694053.0,25763214,"Oxford/AstraZeneca, Pfizer/BioNTech",4031539.0,3540220.0,491319.0,124871.0,79809.0,15.81,13.88,1.93,3130.0,15.648431907602834,0.16788177150361983
Austria,Europe,641380,10546.0,622889,7945,236.0,70853,1165.0,38877709.0,4294827.0,9052217,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4980906.0,3565343.0,1451567.0,109697.0,75129.0,55.3,39.59,16.12,8342.0,55.0241559609099,1.6497371282860316
Azerbaijan,Asia,332454,4860.0,320708,6886,,32528,476.0,3453244.0,337872.0,10220581,"Oxford/AstraZeneca, Sinovac, Sputnik V",2169185.0,1279356.0,889829.0,62296.0,54088.0,21.39,12.62,8.78,5335.0,21.223695600083794,9.62729537791132
Bahamas,North America,11396,222.0,10221,953,8.0,28735,560.0,94058.0,237167.0,396590,Oxford/AstraZeneca,50242.0,44226.0,6016.0,110.0,1187.0,12.78,11.25,1.53,3018.0,12.668498953579263,12.11592846966765
Bahrain,Asia,218047,820.0,194885,22342,186.0,124328,468.0,4489530.0,2559887.0,1753800,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1671687.0,905133.0,766554.0,23499.0,20163.0,98.24,53.19,45.05,11850.0,95.31799521040027,4.856789018004112
Bangladesh,Asia,789080,12376.0,730697,46007,1213.0,4749,74.0,5820612.0,35032.0,166150458,Oxford/AstraZeneca,9939018.0,5823245.0,4115773.0,261945.0,196796.0,6.04,3.54,2.5,1195.0,5.981938370582162,13.55665005672943
Barbados,North America,3995,47.0,3922,26,,13887,163.0,166237.0,577836.0,287689,Oxford/AstraZeneca,135082.0,77084.0,57998.0,16939.0,4526.0,47.01,26.82,20.18,15750.0,46.95417621111687,2.403195437838748
Belarus,Europe,386025,2771.0,376453,6801,,40864,293.0,6211780.0,657571.0,9446547,"Sinopharm/Beijing, Sputnik V",710922.0,438620.0,272302.0,0.0,16308.0,7.52,4.64,2.88,1726.0,7.525734006298809,6.214402313024608
Belgium,Europe,1048881,24842.0,935360,88679,544.0,90152,2135.0,13635474.0,1171975.0,11634613,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",6492107.0,4553139.0,2006944.0,161018.0,108459.0,56.02,39.29,17.32,9358.0,55.799939370566086,7.692295845380953
Belize,North America,12764,323.0,12358,83,1.0,31591,799.0,128613.0,318318.0,404039,"Oxford/AstraZeneca, Sinopharm/Beijing",74016.0,63064.0,10952.0,10917.0,2583.0,18.61,15.86,2.75,6496.0,18.319023658607215,9.924346683461236
